iter	RMSE
0	11.77219771
1	11.64567169
2	11.53966857
3	11.44391713
4	11.35280982
5	11.25586156
6	11.15319117
7	11.08325429
8	11.00763059
9	10.94072937
10	10.86989827
11	10.81038559
12	10.7482768
13	10.68613953
14	10.62134296
15	10.55523327
16	10.49589018
17	10.44084776
18	10.38332773
19	10.34446839
20	10.307567
21	10.2619
22	10.20417088
23	10.16404308
24	10.12011993
25	10.08641897
26	10.04453943
27	10.01089279
28	9.975835636
29	9.946977317
30	9.909889156
31	9.876524486
32	9.841329942
33	9.811159453
34	9.78854568
35	9.754760986
36	9.730121563
37	9.700496766
38	9.677755745
39	9.649008618
40	9.613678975
41	9.59111533
42	9.563621163
43	9.538395154
44	9.512088272
45	9.498352217
46	9.479305909
47	9.449872055
48	9.433404701
49	9.421268236
50	9.406159756
51	9.392065882
52	9.37045002
53	9.357304827
54	9.340472653
55	9.319271546
56	9.294674401
57	9.275742043
58	9.263281651
59	9.248463443
60	9.236399125
61	9.225632814
62	9.204353121
63	9.185839126
64	9.16418401
65	9.146134074
66	9.129434367
67	9.125593411
68	9.112600374
69	9.100369173
70	9.093428432
71	9.081800321
72	9.062811396
73	9.039564713
74	9.033386969
75	9.028412569
76	9.012854987
77	9.007781426
78	8.998210141
79	8.993231075
80	8.982015102
81	8.971651055
82	8.956024238
83	8.940465836
84	8.928543558
85	8.917778587
86	8.906403109
87	8.898041977
88	8.891890214
89	8.882714683
90	8.872967912
91	8.870216373
92	8.85406962
93	8.847941181
94	8.842432664
95	8.828730506
96	8.819792157
97	8.808176832
98	8.797273732
99	8.792888605
100	8.784621872
101	8.778540298
102	8.770515753
103	8.763012808
104	8.749890874
105	8.742331822
106	8.733228454
107	8.721902115
108	8.717188223
109	8.705359287
110	8.698872261
111	8.683304106
112	8.679306053
113	8.667317378
114	8.660879502
115	8.639790918
116	8.635409052
117	8.621161307
118	8.610149174
119	8.59986631
120	8.596842545
121	8.58915093
122	8.572979769
123	8.566564553
124	8.557516872
125	8.547080718
126	8.541630757
127	8.537221343
128	8.533877192
129	8.529034742
130	8.526761462
131	8.52373727
132	8.511159122
133	8.507415232
134	8.501020337
135	8.496121473
136	8.48919194
137	8.485206874
138	8.482283715
139	8.479631885
140	8.475029367
141	8.465711605
142	8.460554561
143	8.44652937
144	8.44165158
145	8.433614657
146	8.427976182
147	8.424167626
148	8.419034402
149	8.414015408
150	8.408198181
151	8.399942287
152	8.397185517
153	8.392643477
154	8.389428902
155	8.385231922
156	8.376482632
157	8.373349325
158	8.364756466
159	8.362252771
160	8.357687106
161	8.346922725
162	8.342725625
163	8.334190422
164	8.332277753
165	8.326470746
166	8.325503158
167	8.324372041
168	8.322675825
169	8.315967525
170	8.312712736
171	8.303639413
172	8.296302776
173	8.293935089
174	8.287207115
175	8.282089179
176	8.275365862
177	8.272152751
178	8.259887622
179	8.245736579
180	8.242182393
181	8.237177343
182	8.235183124
183	8.232457469
184	8.225437717
185	8.223015856
186	8.21684619
187	8.213428904
188	8.209736066
189	8.205286408
190	8.20157886
191	8.198420091
192	8.191489936
193	8.190572962
194	8.1806841
195	8.176387839
196	8.174446339
197	8.170221043
198	8.165857614
199	8.164576972
200	8.14720771
201	8.144840559
202	8.142828874
203	8.14209696
204	8.139420395
205	8.138652799
206	8.135737463
207	8.13085073
208	8.128224014
209	8.122278546
210	8.118375516
211	8.115707182
212	8.113321495
213	8.111005254
214	8.107920732
215	8.10381578
216	8.100612834
217	8.087248247
218	8.080934673
219	8.076887147
220	8.074164561
221	8.072793394
222	8.065322797
223	8.062305602
224	8.058965404
225	8.052009112
226	8.049780313
227	8.034633414
228	8.033007084
229	8.019591824
230	8.014638449
231	8.011102406
232	8.009686579
233	8.007605877
234	8.005172827
235	8.003252924
236	8.001912037
237	7.990863486
238	7.98223356
239	7.979096653
240	7.973154974
241	7.963407342
242	7.959584994
243	7.955635032
244	7.952987882
245	7.941058262
246	7.924636548
247	7.923128749
248	7.918231018
249	7.915334699
250	7.910778656
251	7.908845226
252	7.907795062
253	7.902283305
254	7.896088956
255	7.892980744
256	7.888821095
257	7.882561696
258	7.868446635
259	7.866412985
260	7.863646716
261	7.858849547
262	7.853089698
263	7.85127045
264	7.839072084
265	7.832937008
266	7.829823163
267	7.827048712
268	7.823017198
269	7.81975536
270	7.812196118
271	7.8101588
272	7.802753489
273	7.790316062
274	7.781300426
275	7.779788513
276	7.774942984
277	7.772968842
278	7.766679322
279	7.763663859
280	7.757481227
281	7.753148955
282	7.749368034
283	7.746996723
284	7.743866912
285	7.742725069
286	7.740453918
287	7.73889464
288	7.723043126
289	7.721628527
290	7.715217758
291	7.712103083
292	7.696298712
293	7.692456557
294	7.690570129
295	7.68746394
296	7.686340044
297	7.682693116
298	7.677248547
299	7.669565921
300	7.664315768
301	7.655653593
302	7.652548272
303	7.651797452
304	7.645427208
305	7.641405059
306	7.639440011
307	7.631530824
308	7.626982976
309	7.615417593
310	7.612131649
311	7.610504459
312	7.608827698
313	7.607390819
314	7.596909926
315	7.590564017
316	7.585897692
317	7.578477188
318	7.576799931
319	7.575118967
320	7.573070898
321	7.56557195
322	7.563859342
323	7.560432118
324	7.559221141
325	7.551737691
326	7.550087877
327	7.548830143
328	7.545438627
329	7.54026872
330	7.527682948
331	7.523054149
332	7.521698493
333	7.519927446
334	7.504569912
335	7.502835179
336	7.498708
