iter	Passed	Remaining
0	60	60503
1	116	58290
2	172	57459
3	227	56590
4	323	64280
5	417	69149
6	488	69320
7	563	69855
8	629	69291
9	680	67337
10	740	66533
11	836	68854
12	922	70021
13	984	69360
14	1042	68452
15	1115	68618
16	1160	67100
17	1212	66123
18	1272	65708
19	1321	64758
20	1376	64190
21	1427	63447
22	1471	62526
23	1512	61489
24	1559	60818
25	1611	60353
26	1666	60052
27	1712	59444
28	1760	58936
29	1803	58316
30	1843	57635
31	1890	57187
32	1953	57252
33	1993	56634
34	2039	56231
35	2094	56087
36	2143	55788
37	2193	55527
38	2240	55207
39	2290	54968
40	2393	55986
41	2502	57091
42	2615	58199
43	2732	59368
44	2784	59102
45	2833	58758
46	2881	58425
47	2929	58104
48	2973	57711
49	3017	57341
50	3061	56972
51	3116	56816
52	3184	56906
53	3320	58176
54	3414	58659
55	3487	58787
56	3573	59120
57	3632	58992
58	3699	59008
59	3754	58818
60	3831	58987
61	3878	58683
62	3923	58361
63	3970	58072
64	4012	57720
65	4054	57378
66	4103	57146
67	4143	56786
68	4187	56498
69	4231	56215
70	4290	56137
71	4337	55902
72	4387	55713
73	4433	55479
74	4488	55363
75	4545	55260
76	4596	55097
77	4635	54791
78	4675	54509
79	4718	54260
80	4756	53968
81	4798	53724
82	4837	53442
83	4882	53245
84	4932	53097
85	4979	52916
86	5022	52711
87	5067	52513
88	5112	52330
89	5159	52164
90	5217	52120
91	5270	52015
92	5314	51829
93	5389	51941
94	5426	51697
95	5467	51483
96	5507	51267
97	5545	51042
98	5582	50806
99	5627	50645
100	5670	50477
101	5710	50277
102	5753	50106
103	5788	49873
104	5828	49683
105	5869	49504
106	5927	49473
107	5973	49335
108	6025	49253
109	6068	49102
110	6113	48963
111	6147	48740
112	6179	48506
113	6210	48267
114	6239	48018
115	6270	47786
116	6304	47577
117	6334	47350
118	6364	47118
119	6394	46893
120	6424	46668
121	6462	46510
122	6493	46298
123	6527	46117
124	6564	45953
125	6619	45913
126	6664	45813
127	6720	45783
128	6766	45688
129	6798	45497
130	6828	45296
131	6866	45154
132	6896	44958
133	6927	44770
134	6957	44581
135	6986	44383
136	7019	44216
137	7048	44024
138	7080	43857
139	7111	43683
140	7143	43520
141	7173	43346
142	7205	43181
143	7233	43000
144	7263	42826
145	7304	42726
146	7338	42584
147	7367	42412
148	7397	42250
149	7427	42089
150	7460	41944
151	7493	41803
152	7522	41641
153	7553	41494
154	7583	41342
155	7613	41189
156	7642	41037
157	7673	40890
158	7704	40751
159	7733	40601
160	7764	40460
161	7795	40324
162	7825	40185
163	7857	40054
164	7920	40084
165	7952	39953
166	7981	39812
167	8022	39730
168	8059	39627
169	8090	39498
170	8126	39398
171	8157	39269
172	8189	39147
173	8219	39018
174	8248	38887
175	8279	38762
176	8310	38639
177	8343	38530
178	8373	38406
179	8403	38282
180	8434	38163
181	8462	38036
182	8491	37911
183	8523	37801
184	8553	37680
185	8584	37568
186	8615	37457
187	8644	37336
188	8675	37228
189	8712	37144
190	8749	37057
191	8782	36959
192	8813	36852
193	8842	36737
194	8872	36629
195	8902	36517
196	8931	36407
197	8961	36299
198	8991	36192
199	9022	36091
200	9060	36015
201	9096	35937
202	9142	35894
203	9172	35789
204	9202	35688
205	9232	35586
206	9265	35494
207	9305	35432
208	9336	35336
209	9365	35232
210	9398	35145
211	9436	35074
212	9469	34986
213	9499	34889
214	9529	34792
215	9559	34696
216	9592	34613
217	9621	34513
218	9651	34419
219	9683	34331
220	9713	34238
221	9743	34147
222	9774	34058
223	9804	33963
224	9836	33881
225	9864	33785
226	9893	33691
227	9925	33607
228	9953	33513
229	9984	33425
230	10014	33338
231	10045	33255
232	10077	33172
233	10112	33103
234	10149	33040
235	10180	32957
236	10210	32871
237	10240	32786
238	10267	32694
